run_id,ticker,reference_price,shares,cancel_above_price,stop_loss_price,rsi,reason,generated_at,execution_status,actual_entry_price,actual_shares,confirmed_at
,3088.T,,100,,,,,,FILLED,2474,,
,2301.T,,100,,,,,,FILLED,1631.7,,
